ERROR [main] [ConfigIO] 2016-05-30 03:34:20,002 {null Nested exception: null
}ERROR [main] [ConfigIO] 2016-05-30 04:39:50,799 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:41:05,857 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:41:06,008 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:42:06,934 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:42:07,113 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:42:49,843 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:42:50,029 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:46:54,983 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:49:30,920 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:49:31,083 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:51:14,055 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:52:40,822 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:52:40,975 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:53:02,912 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:56:51,828 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:59:26,079 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 05:06:51,293 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 05:08:42,799 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 05:08:42,960 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [jap.config.ConfigIOTest] 2016-06-12 21:16:27,598 {E:/OpenOffice4
}
